spu,title,cost,inventory,profit_margin
SPU103,运动鞋经典款,137.92,808,0.57
SPU104,运动鞋经典款,298.26,700,0.51
SPU105,半身裙夏季款,188.52,700,0.39
SPU106,运动鞋夏季款,176.77,641,0.58
SPU107,T恤秋冬款,237.55,994,0.35
SPU108,牛仔裤夏季款,109.98,105,0.33
SPU109,卫衣经典款,302.3,905,0.2
SPU110,半身裙经典款,200.96,994,0.38
SPU111,高跟鞋秋冬款,71.95,678,0.58
SPU112,针织连衣裙秋冬款,257.34,147,0.21
SPU113,半身裙春季款,253.27,305,0.58
SPU114,针织连衣裙春季款,164.98,126,0.49
SPU115,T恤春季款,289.86,540,0.43
SPU116,针织连衣裙经典款,312.52,698,0.32
SPU117,运动鞋春季款,245.85,651,0.2
SPU118,针织连衣裙春季款,373.15,674,0.49
SPU119,羽绒服春季款,399.44,169,0.24
SPU120,T恤春季款,252.32,850,0.42
SPU121,卫衣经典款,309.58,813,0.56
SPU122,西装外套秋冬款,172.46,534,0.43
SPU123,T恤秋冬款,266.05,546,0.33
SPU124,羽绒服夏季款,134.93,493,0.2
SPU125,休闲衬衫秋冬款,81.81,207,0.46
SPU126,牛仔裤经典款,121.19,666,0.42
SPU127,休闲衬衫经典款,339.17,849,0.29
SPU128,卫衣夏季款,251.46,459,0.5
SPU129,休闲衬衫秋冬款,300.49,265,0.57
SPU130,针织连衣裙春季款,141.32,421,0.54
SPU131,T恤秋冬款,311.0,591,0.41
SPU132,牛仔裤秋冬款,325.59,582,0.41
SPU133,卫衣夏季款,358.79,854,0.58
SPU134,针织连衣裙夏季款,142.3,891,0.31
SPU135,针织连衣裙秋冬款,267.52,336,0.23
SPU136,西装外套夏季款,169.99,821,0.25
SPU137,西装外套经典款,398.85,815,0.32
SPU138,运动鞋经典款,122.98,716,0.27
SPU139,运动鞋夏季款,309.81,640,0.42
SPU140,T恤经典款,389.65,951,0.39
SPU141,羽绒服秋冬款,327.37,200,0.44
SPU142,半身裙秋冬款,218.73,321,0.33
SPU143,运动鞋夏季款,369.24,553,0.32
SPU144,卫衣秋冬款,283.63,597,0.45
SPU145,半身裙春季款,51.0,862,0.59
SPU146,高跟鞋秋冬款,312.76,758,0.49
SPU147,羽绒服秋冬款,351.42,314,0.4
SPU148,羽绒服秋冬款,358.95,741,0.58
SPU149,西装外套夏季款,135.82,284,0.26
SPU150,卫衣经典款,236.38,355,0.59
SPU151,西装外套经典款,356.72,351,0.54
SPU152,西装外套夏季款,274.24,581,0.53
SPU153,运动鞋夏季款,305.48,161,0.54
SPU154,高跟鞋秋冬款,238.08,993,0.22
SPU155,运动鞋春季款,155.23,503,0.46
SPU156,高跟鞋经典款,312.45,798,0.56
SPU157,半身裙经典款,343.11,546,0.3
SPU158,休闲衬衫夏季款,303.03,351,0.49
SPU159,T恤经典款,395.68,942,0.33
SPU160,卫衣春季款,254.01,752,0.35
SPU161,半身裙秋冬款,128.4,119,0.56
SPU162,牛仔裤夏季款,59.73,758,0.56
SPU163,高跟鞋春季款,165.17,984,0.25
SPU164,针织连衣裙经典款,121.45,726,0.21
SPU165,半身裙秋冬款,142.82,180,0.24
SPU166,高跟鞋经典款,50.26,428,0.23
SPU167,休闲衬衫秋冬款,196.24,550,0.43
SPU168,卫衣春季款,176.54,383,0.36
SPU169,T恤秋冬款,350.88,519,0.32
SPU170,T恤秋冬款,142.79,194,0.35
SPU171,卫衣春季款,263.63,103,0.5
SPU172,休闲衬衫经典款,326.44,963,0.33
SPU173,高跟鞋经典款,170.86,621,0.54
SPU174,牛仔裤经典款,166.08,942,0.27
SPU175,卫衣经典款,334.39,721,0.51
SPU176,卫衣春季款,172.31,794,0.58
SPU177,运动鞋秋冬款,86.65,899,0.3
SPU178,牛仔裤夏季款,289.62,353,0.5
SPU179,西装外套春季款,72.03,617,0.24
SPU180,西装外套秋冬款,248.88,361,0.31
SPU181,T恤春季款,248.02,761,0.37
SPU182,半身裙经典款,324.33,158,0.5
SPU183,半身裙秋冬款,137.93,842,0.36
SPU184,半身裙春季款,82.98,602,0.28
SPU185,牛仔裤秋冬款,78.6,378,0.47
SPU186,针织连衣裙经典款,353.43,304,0.57
SPU187,T恤夏季款,137.73,686,0.2
SPU188,卫衣经典款,297.78,314,0.39
SPU189,半身裙秋冬款,133.76,168,0.32
SPU190,运动鞋夏季款,103.31,762,0.55
SPU191,半身裙秋冬款,375.21,470,0.59
SPU192,羽绒服春季款,97.71,348,0.39
SPU193,针织连衣裙秋冬款,299.91,134,0.38
SPU194,牛仔裤春季款,200.07,104,0.51
SPU195,运动鞋夏季款,114.98,605,0.29
SPU196,高跟鞋经典款,255.68,466,0.49
SPU197,运动鞋秋冬款,115.07,954,0.44
SPU198,卫衣秋冬款,231.45,951,0.54
SPU199,休闲衬衫春季款,269.63,331,0.53
