sku,spu,name,category,color,size,price
SKU56447,SPU075,羽绒服经典款,配饰,红色,M,269.95
SKU20459,SPU075,羽绒服经典款,女装,灰色,XL,254.81
SKU97087,SPU075,羽绒服经典款,女装,白色,S,266.79
SKU83389,SPU076,牛仔裤夏季款,男装,米色,L,429.44
SKU50635,SPU076,牛仔裤夏季款,女装,蓝色,XS,443.06
SKU83997,SPU076,牛仔裤夏季款,女装,蓝色,XS,454.61
SKU11197,SPU077,针织连衣裙秋冬款,男装,粉色,XL,314.99
SKU79813,SPU077,针织连衣裙秋冬款,男装,黑色,S,310.65
SKU31783,SPU077,针织连衣裙秋冬款,男装,蓝色,XL,316.76
SKU94923,SPU078,休闲衬衫春季款,配饰,灰色,M,195.65
SKU78892,SPU078,休闲衬衫春季款,配饰,红色,M,198.08
SKU15818,SPU078,休闲衬衫春季款,鞋靴,粉色,L,197.76
SKU13529,SPU079,T恤经典款,女装,米色,XS,232.56
SKU87717,SPU079,T恤经典款,配饰,米色,M,235.02
SKU98630,SPU079,T恤经典款,女装,白色,L,235.81
SKU76752,SPU079,T恤经典款,鞋靴,米色,L,240.37
SKU28460,SPU080,半身裙经典款,女装,黑色,L,142.05
SKU39242,SPU080,半身裙经典款,鞋靴,粉色,L,141.16
SKU88461,SPU080,半身裙经典款,男装,白色,XL,139.53
SKU46846,SPU080,半身裙经典款,配饰,白色,L,144.3
SKU25199,SPU080,半身裙经典款,男装,粉色,L,141.8
SKU79755,SPU081,T恤春季款,女装,红色,XL,187.9
SKU67613,SPU081,T恤春季款,男装,灰色,M,196.22
SKU78616,SPU081,T恤春季款,鞋靴,白色,M,196.0
SKU41729,SPU081,T恤春季款,鞋靴,黑色,L,195.72
SKU11565,SPU081,T恤春季款,鞋靴,灰色,XS,196.07
SKU65544,SPU082,T恤春季款,鞋靴,粉色,M,540.76
SKU25365,SPU082,T恤春季款,女装,粉色,XL,516.59
SKU95222,SPU082,T恤春季款,男装,白色,XL,528.32
SKU85116,SPU082,T恤春季款,配饰,黑色,S,534.61
SKU16214,SPU083,羽绒服春季款,鞋靴,红色,XS,186.84
SKU90340,SPU083,羽绒服春季款,男装,粉色,XL,181.1
SKU98829,SPU083,羽绒服春季款,鞋靴,白色,XS,183.54
SKU24153,SPU083,羽绒服春季款,男装,粉色,L,184.59
SKU82859,SPU083,羽绒服春季款,男装,白色,XS,183.09
SKU12805,SPU084,卫衣经典款,配饰,米色,XL,429.67
SKU92182,SPU084,卫衣经典款,配饰,红色,XS,422.5
SKU36972,SPU084,卫衣经典款,男装,白色,XS,404.87
SKU39501,SPU084,卫衣经典款,配饰,粉色,XL,411.77
SKU86039,SPU085,运动鞋夏季款,女装,白色,XS,372.62
SKU59819,SPU085,运动鞋夏季款,男装,白色,XS,371.88
SKU75424,SPU085,运动鞋夏季款,配饰,白色,S,380.47
SKU58698,SPU086,西装外套春季款,鞋靴,米色,M,149.88
SKU98956,SPU086,西装外套春季款,男装,白色,XL,146.23
SKU42710,SPU086,西装外套春季款,配饰,红色,XS,152.36
SKU98866,SPU086,西装外套春季款,鞋靴,米色,XL,151.58
SKU72143,SPU086,西装外套春季款,女装,灰色,XL,144.45
SKU77568,SPU087,运动鞋秋冬款,男装,灰色,M,285.44
SKU43054,SPU087,运动鞋秋冬款,男装,白色,M,284.39
SKU42901,SPU087,运动鞋秋冬款,女装,黑色,XL,291.58
SKU33927,SPU087,运动鞋秋冬款,鞋靴,粉色,S,290.42
SKU95627,SPU087,运动鞋秋冬款,男装,黑色,XS,297.49
SKU88804,SPU088,牛仔裤秋冬款,女装,红色,XS,488.7
SKU30496,SPU088,牛仔裤秋冬款,女装,粉色,M,510.6
SKU37201,SPU088,牛仔裤秋冬款,男装,米色,S,505.81
SKU21259,SPU088,牛仔裤秋冬款,鞋靴,红色,XL,495.8
SKU90692,SPU088,牛仔裤秋冬款,配饰,黑色,XL,490.83
SKU74615,SPU089,半身裙春季款,女装,红色,XS,374.81
SKU86427,SPU089,半身裙春季款,鞋靴,灰色,XL,366.96
SKU85363,SPU089,半身裙春季款,配饰,米色,M,361.03
SKU80261,SPU089,半身裙春季款,女装,灰色,XS,372.56
SKU60317,SPU089,半身裙春季款,女装,白色,L,361.83
SKU35445,SPU090,高跟鞋秋冬款,配饰,黑色,L,564.61
SKU75312,SPU090,高跟鞋秋冬款,男装,米色,XL,586.69
SKU71063,SPU090,高跟鞋秋冬款,女装,白色,XS,569.33
SKU78718,SPU091,运动鞋夏季款,男装,白色,XL,429.71
SKU85149,SPU091,运动鞋夏季款,男装,米色,L,424.71
SKU88697,SPU091,运动鞋夏季款,配饰,白色,M,425.88
SKU38000,SPU091,运动鞋夏季款,鞋靴,蓝色,XL,440.11
SKU18361,SPU092,西装外套春季款,女装,粉色,S,275.17
SKU86242,SPU092,西装外套春季款,配饰,粉色,M,292.68
SKU16055,SPU092,西装外套春季款,女装,米色,M,274.2
SKU91495,SPU092,西装外套春季款,女装,灰色,S,287.82
SKU80551,SPU092,西装外套春季款,配饰,灰色,S,286.22
SKU58296,SPU093,卫衣夏季款,配饰,蓝色,XS,470.62
SKU71104,SPU093,卫衣夏季款,女装,白色,S,483.56
SKU18422,SPU093,卫衣夏季款,配饰,蓝色,M,483.33
SKU53463,SPU094,牛仔裤秋冬款,鞋靴,粉色,XL,332.42
SKU23080,SPU094,牛仔裤秋冬款,鞋靴,白色,L,344.19
SKU30963,SPU094,牛仔裤秋冬款,男装,黑色,M,333.21
SKU33163,SPU095,休闲衬衫春季款,配饰,灰色,XS,635.52
SKU96800,SPU095,休闲衬衫春季款,女装,米色,L,638.99
SKU73519,SPU095,休闲衬衫春季款,鞋靴,黑色,M,661.48
SKU46782,SPU096,针织连衣裙秋冬款,男装,白色,XL,183.04
SKU56717,SPU096,针织连衣裙秋冬款,女装,黑色,M,181.55
SKU52261,SPU096,针织连衣裙秋冬款,鞋靴,黑色,S,181.72
SKU64985,SPU096,针织连衣裙秋冬款,男装,米色,L,179.66
SKU35745,SPU097,卫衣秋冬款,女装,粉色,S,186.55
